,dim1,dim2,dim3,dim4,nn,min_dist
192439,1.0344932079315186,-3.289294481277466,-1.7475416660308838,3.5687527656555176,196952,1.5974922180175781
705341,6.581154823303223,2.4691176414489746,2.8107759952545166,2.2974939346313477,749361,0.6993650197982788
174437,4.980472564697266,2.02732253074646,-1.1570169925689697,-0.811944842338562,123925,0.9125195741653442
169949,3.8365418910980225,14.826460838317871,6.311290264129639,1.522937297821045,180432,1.0121926069259644
137431,0.8554500937461853,17.702367782592773,5.724714279174805,2.4567489624023438,169141,0.6278438568115234
121315,4.6327080726623535,14.04360580444336,4.716987609863281,0.31125131249427795,100610,0.35066619515419006
172635,-0.7292479276657104,15.165555000305176,5.643143653869629,5.563128471374512,679770,0.619182288646698
146129,5.55157995223999,9.518370628356934,2.727550745010376,-0.15840201079845428,767464,0.26589787006378174
571144,6.271766185760498,9.043025970458984,7.395631790161133,3.7796497344970703,654754,0.41097956895828247
102816,0.5203117728233337,15.188040733337402,1.7081975936889648,0.8794661164283752,138837,0.8596044778823853
123925,4.5121307373046875,2.287576675415039,-0.527070164680481,-0.42622122168540955,129432,0.8772863149642944
210415,4.887729644775391,10.437310218811035,1.6446387767791748,-0.3039039671421051,166640,0.5358375906944275
132118,-0.2574407458305359,15.394272804260254,6.798911094665527,5.935403823852539,135528,0.8376227021217346
185442,1.7706639766693115,-0.5455069541931152,1.320871353149414,5.464760780334473,568963,0.6705801486968994
115825,-2.020110845565796,6.0148115158081055,-0.6305402517318726,3.5700628757476807,286347,0.27027761936187744
894067,2.3133585453033447,19.132198333740234,9.08326244354248,3.2734103202819824,140117,0.9529365301132202
206323,-1.386123776435852,15.114876747131348,3.046881914138794,3.8519458770751953,136227,0.21031992137432098
120010,0.990290641784668,16.16303062438965,2.3466427326202393,0.7701159715652466,151223,0.7293969392776489
180937,7.080003261566162,1.831851840019226,4.983701705932617,6.473219394683838,189349,1.254300832748413
421226,4.136664867401123,15.412687301635742,5.491524696350098,0.5696101188659668,188448,0.4713062345981598
204622,6.102839946746826,10.204345703125,6.054442882537842,1.4405605792999268,211215,1.4241995811462402
214524,6.354313373565674,3.378086805343628,2.870391845703125,1.6385008096694946,749361,0.5927555561065674
103212,-1.7534008026123047,15.030471801757812,1.5571401119232178,3.736100673675537,766563,0.7990057468414307
959574,4.591734409332275,10.228564262390137,0.5255221128463745,-0.7803532481193542,186848,0.5189944505691528
118124,2.4553372859954834,19.034975051879883,7.410788536071777,1.711968183517456,878776,0.5868976712226868
208428,5.165045738220215,11.401371955871582,4.134985446929932,0.05386187136173248,578057,0.8202113509178162
126628,2.9561407566070557,11.291424751281738,-1.027573585510254,-0.8251352906227112,748662,0.8597666621208191
872158,6.508902549743652,2.4189717769622803,3.71616530418396,4.324748516082764,115320,0.716935932636261
227533,5.942012786865234,3.1757736206054688,4.771681785583496,5.475712299346924,197651,1.3220022916793823
633847,0.6643232107162476,13.986455917358398,6.847909927368164,5.400330066680908,209834,0.9641054272651672
389357,-0.07061579823493958,14.521949768066406,6.125635623931885,5.574745178222656,135528,0.4537689983844757
227432,4.3101067543029785,15.634888648986816,7.903848648071289,1.890852928161621,103515,0.3181088864803314
209834,1.1748602390289307,14.605137825012207,7.358271598815918,5.240283489227295,634748,0.5386924743652344
151728,-1.5450241565704346,1.2823375463485718,-1.4580533504486084,2.83042573928833,336841,0.5195128917694092
137633,4.931006908416748,8.213106155395508,0.28990739583969116,-0.9102845788002014,139637,0.514630138874054
148941,2.5390465259552,14.626084327697754,8.054048538208008,4.087953567504883,748258,0.6809139251708984
196750,0.5074316263198853,18.761709213256836,6.542336940765381,3.211073875427246,827052,0.3713739216327667
160931,2.624410390853882,8.549601554870605,6.64422607421875,6.724226951599121,820745,1.0063860416412354
896879,-0.4244442880153656,16.523479461669922,5.65471076965332,4.838611602783203,414229,0.5009533166885376
889579,2.510105848312378,0.3439466655254364,1.7751843929290771,5.316157341003418,849971,0.44245976209640503
877168,6.021777153015137,9.304752349853516,2.2408883571624756,-0.38700631260871887,145531,0.37501129508018494
395756,3.2624166011810303,16.283815383911133,4.946101665496826,0.5807981491088867,973770,0.6836432814598083
771354,0.14649470150470734,3.9417991638183594,2.0478150844573975,5.248543739318848,782157,0.4498370289802551
101107,5.099636077880859,8.089543342590332,6.887561798095703,4.8273024559021,499566,0.9823469519615173
173940,4.96766996383667,-0.33866193890571594,-1.411574363708496,-0.12559865415096283,286650,1.725460410118103
150423,1.3679232597351074,19.42662811279297,7.912459373474121,3.0852200984954834,133019,0.83835369348526
111009,-1.993669033050537,9.401142120361328,-0.022820988669991493,3.872443914413452,162026,0.21995453536510468
129937,6.723062992095947,9.006420135498047,6.187164306640625,1.9537144899368286,129129,0.8184681534767151
205220,1.7475159168243408,17.752004623413086,4.804288387298584,0.949778139591217,519950,0.9521754384040833
185846,-1.3642534017562866,14.80907917022705,2.918062210083008,4.030145645141602,136227,0.31180158257484436
124826,5.9374871253967285,11.72377872467041,6.045137405395508,0.993304967880249,129634,0.8230382204055786
597869,4.096128940582275,16.08749008178711,7.748135089874268,1.931876301765442,103515,0.46204808354377747
748662,2.6789324283599854,12.072019577026367,-1.2448512315750122,-0.7488696575164795,126628,0.8597666621208191
149337,5.977850437164307,7.460231781005859,0.6734387874603271,-0.960044264793396,134627,0.7375621199607849
826353,5.74984073638916,5.873049736022949,0.787304162979126,-0.6940536499023438,165941,0.24560028314590454
792766,3.892237663269043,13.073516845703125,1.317654013633728,-0.43359437584877014,213421,0.19053074717521667
146735,1.8075051307678223,16.588701248168945,8.16625690460205,4.170459270477295,136833,0.7234315872192383
462139,2.295865297317505,3.9784817695617676,3.755136728286743,6.08143424987793,993675,1.0189834833145142
133928,1.9896761178970337,16.559289932250977,3.8500587940216064,0.5976563692092896,115219,0.47704604268074036
161832,1.6160640716552734,13.138816833496094,7.518591403961182,5.73289155960083,160830,0.5649625658988953
114924,-1.9656633138656616,11.919841766357422,-0.41875508427619934,2.775273323059082,148335,0.47503963112831116
318637,5.609339714050293,1.7566901445388794,0.6038687825202942,0.29744067788124084,480141,0.6620944142341614
644044,2.827303647994995,17.740602493286133,8.56396484375,2.845242738723755,208226,0.7468338012695312
151526,-1.5676090717315674,10.44546127319336,1.2853593826293945,4.294582843780518,255740,0.3986831605434418
106521,2.2375998497009277,17.498228073120117,6.526488304138184,1.6751922369003296,108222,0.6803547739982605
825654,3.6780216693878174,17.056476593017578,7.305600166320801,1.2569589614868164,994273,0.7775980234146118
200210,6.898958683013916,4.160331726074219,5.85535192489624,5.41229772567749,182840,1.6597124338150024
849971,2.296661138534546,0.6614561080932617,1.870795726776123,5.516801834106445,194847,0.23781898617744446
365343,-0.5425807237625122,16.635303497314453,5.132636070251465,4.059954643249512,557857,0.3423547148704529
196346,2.0611202716827393,-1.183358907699585,0.7702898383140564,5.1185760498046875,171633,0.5169578194618225
517239,-1.8752861022949219,5.218615531921387,-1.0926406383514404,3.2956767082214355,134425,0.4831841289997101
115219,2.170365333557129,16.62593650817871,4.250418663024902,0.7714221477508545,133928,0.47704604268074036
286650,5.672862529754639,0.27024659514427185,-0.1016027107834816,0.501395583152771,211922,0.6664817333221436
102008,2.8789901733398438,15.661530494689941,4.322976112365723,0.63946932554245,973770,0.6296675205230713
104820,6.6265177726745605,6.4459733963012695,7.501238822937012,6.065127372741699,352132,0.9165928959846497
360030,-1.2990424633026123,11.085585594177246,2.6549694538116455,5.166289806365967,177140,0.22878378629684448
146432,-0.44076216220855713,11.55947208404541,4.988350868225098,6.229264736175537,176845,1.1593589782714844
519950,2.3979921340942383,17.44890022277832,5.428773880004883,0.9905746579170227,257542,0.8207095861434937
134627,5.951653957366943,8.116199493408203,0.3399764597415924,-1.0027159452438354,309636,0.6286447048187256
753150,5.342904567718506,12.373404502868652,4.7694807052612305,0.2631390392780304,578057,0.5074096322059631
144832,1.8100718259811401,17.410078048706055,8.553093910217285,4.125616550445557,136833,0.33507823944091797
204016,3.4058945178985596,16.762086868286133,7.805182933807373,2.206921100616455,623844,0.17224739491939545
627549,1.3499815464019775,15.095433235168457,1.8090801239013672,0.6729541420936584,102816,0.8658825159072876
