,key_0,1_x,2_x,cluster_lab,1_y,2_y,cluster_lab_half2,subjects
319,205220,-30.055166,13.540036,3,31.03383,-20.900202,1,205220
320,163331,28.991913,2.8870232,2,-2.813257,28.235373,0,163331
321,186848,8.1437235,24.585812,2,32.47487,-6.386262,1,186848
322,148840,-0.9492612,34.35832,0,19.591301,32.46155,0,148840
323,748662,29.567657,12.021337,2,-12.782843,33.26726,0,748662
324,115320,-6.5148993,-36.867973,1,-28.642042,-14.540533,2,115320
325,138837,-23.123827,5.3943634,3,24.667652,-17.607769,1,138837
326,286347,12.296812,-8.796841,2,-24.937891,14.022387,2,286347
327,208125,-9.385007,-48.146744,1,-19.054058,-37.936108,3,208125
328,888678,-10.057228,0.3022711,3,0.12155632,-12.4124565,1,888678
329,129028,12.254653,44.95795,0,1.6024158,41.87144,0,129028
330,169545,-19.719019,12.682945,3,36.1102,-13.444889,1,169545
331,208630,16.810078,-14.743112,2,-1.2786777,-12.048032,1,208630
332,102513,6.021583,-39.58287,1,-23.345789,-35.78688,3,102513
333,118932,22.967325,-24.947815,1,-17.932909,29.265371,0,118932
334,552544,-20.126568,35.858765,0,22.335611,19.609386,1,552544
335,793465,20.27847,9.038618,2,-2.1252313,-0.90798026,1,793465
336,201111,5.203318,-22.558098,1,-15.695573,-21.183643,2,201111
337,146533,-4.992613,-11.0562935,3,7.707807,-8.594004,1,146533
338,158035,-9.151386,-40.34133,1,-8.9260235,-32.816357,3,158035
339,125222,7.6284366,-4.4882526,2,-20.475164,11.232186,2,125222
340,142424,9.104132,-7.8965645,2,-24.633772,11.874578,2,142424
341,894673,-11.762625,-25.959177,1,-13.87957,-21.216513,2,894673
342,121719,-4.702096,4.2981777,3,8.08723,9.312525,1,121719
343,177140,-13.140661,40.54759,0,24.501032,26.626928,0,177140
344,480141,-6.532108,1.9393202,3,11.8416605,-4.1072783,1,480141
345,336841,1.2170141,-39.79693,1,-29.38996,-24.13851,2,336841
346,198653,-20.139189,-1.8934507,3,-3.6685226,-15.3293495,2,198653
347,677766,27.270548,1.1715606,2,-17.578438,30.438513,0,677766
348,553344,-34.02535,0.88957095,3,15.617632,-31.51953,3,553344
349,275645,14.022725,-20.068619,1,-24.13117,-4.7519937,2,275645
350,224022,33.672195,3.370574,2,-0.09986396,27.28639,0,224022
351,973770,11.365854,32.41362,0,37.088493,-12.3051,1,973770
352,136732,22.88562,3.734495,2,-1.5811492,12.7207575,0,136732
353,679770,-23.750303,-0.5135716,3,21.400742,-10.692901,1,679770
